Time,Amplitude,Frequency
10379999,,100.54285714285714
10389999,,100.55714285714286
10399999,,100.57142857142857
10409999,,100.58571428571429
10419999,,100.6
10429999,,100.61428571428571
10439999,,100.62857142857143
10449999,,100.64285714285714
10459999,,100.65714285714286
10469999,,100.67142857142858
10479999,,100.68571428571428
10489999,,100.7
10499999,,100.71428571428571
10509999,,100.72857142857143
10519999,,100.74285714285715
10529999,,100.75714285714285
10539999,,100.77142857142857
10549999,,100.78571428571429
10559999,,100.8
10569999,,100.81428571428572
10579999,,100.82857142857142
10589999,,100.84285714285714
10599999,,100.85714285714286
10609999,,100.87142857142857
10619999,,100.88571428571429
10629999,,100.9
10639999,,100.91428571428571
10649999,,100.92857142857143
10659999,,100.94285714285714
10669999,,100.95714285714286
10679999,,100.97142857142858
10689999,,100.98571428571428
10699999,,101.0
10709999,,101.01428571428572
10719999,,101.02857142857142
10729999,,101.04285714285714
10739999,,101.05714285714286
10749999,,101.07142857142857
10759999,,101.08571428571429
10769999,,101.1
10779999,,101.11428571428571
10789999,,101.12857142857143
10799999,,101.14285714285714
10809999,,101.15714285714286
10819999,,101.17142857142858
10829999,,101.18571428571428
10839999,,101.2
10849999,,101.21428571428571
10859999,,101.22857142857143
10869999,,101.24285714285715
10879999,,101.25714285714285
10889999,,101.27142857142857
10899999,,101.28571428571429
10909999,,101.3
10919999,,101.31428571428572
10929999,,101.32857142857142
10939999,,101.34285714285714
10949999,,101.35714285714286
10959999,,101.37142857142857
10969999,,101.38571428571429
10979999,,101.4
10989999,,101.41428571428571
10999999,,101.42857142857143
11009999,,101.44285714285714
11019999,,101.45714285714286
11029999,,101.47142857142858
11039999,,101.48571428571428
11049999,,101.5
11059999,,101.51428571428572
11069999,,101.52857142857142
11079999,,101.54285714285714
11089999,,101.55714285714286
11099999,,101.57142857142857
11109999,,101.58571428571429
11119999,,101.6
11129999,,101.61428571428571
11139999,,101.62857142857143
11149999,,101.64285714285714
11159999,,101.65714285714286
11169999,,101.67142857142858
11179999,,101.68571428571428
11189999,,101.7
11199999,,101.71428571428571
11209999,,101.72857142857143
11219999,,101.74285714285715
11229999,,101.75714285714285
11239999,,101.77142857142857
11249999,,101.78571428571429
11259999,,101.8
11269999,,101.81428571428572
11279999,,101.82857142857142
11289999,,101.84285714285714
11299999,,101.85714285714286
11309999,,101.87142857142857
11319999,,101.88571428571429
11329999,,101.9
11339999,,101.91428571428571
11349999,,101.92857142857143
11359999,,101.94285714285714
11369999,,101.95714285714286
11379999,,101.97142857142858
11389999,,101.98571428571428
11399999,,102.0
11409999,,102.01428571428572
11419999,,102.02857142857142
11429999,,102.04285714285714
11439999,,102.05714285714285
11449999,,102.07142857142857
11459999,,102.08571428571429
11469999,,102.1
11479999,,102.11428571428571
11489999,,102.12857142857143
11499999,,102.14285714285714
11509999,,102.15714285714286
11519999,,102.17142857142858
11529999,,102.18571428571428
11539999,,102.2
11549999,,102.21428571428571
11559999,,102.22857142857143
11569999,,102.24285714285715
11579999,,102.25714285714285
11589999,,102.27142857142857
11599999,,102.28571428571429
11609999,,102.3
11619999,,102.31428571428572
11629999,,102.32857142857142
11639999,,102.34285714285714
11649999,,102.35714285714286
11659999,,102.37142857142857
11669999,,102.38571428571429
11679999,,102.4
11689999,,102.41428571428571
11699999,,102.42857142857143
11709999,,102.44285714285714
11719999,,102.45714285714286
11729999,,102.47142857142858
11739999,,102.48571428571428
11749999,,102.5
11759999,,102.51428571428572
11769999,,102.52857142857142
11779999,,102.54285714285714
11789999,,102.55714285714285
11799999,,102.57142857142857
11809999,,102.58571428571429
11819999,,102.6
11829999,,102.61428571428571
11839999,,102.62857142857143
11849999,,102.64285714285714
11859999,,102.65714285714286
11869999,,102.67142857142858
11879999,,102.68571428571428
11889999,,102.7
11899999,,102.71428571428571
11909999,,102.72857142857143
11919999,,102.74285714285715
11929999,,102.75714285714285
11939999,,102.77142857142857
11949999,,102.78571428571429
11959999,,102.8
11969999,,102.81428571428572
11979999,,102.82857142857142
11989999,,102.84285714285714
11999999,,102.85714285714286
12009999,,102.87142857142857
12019999,,102.88571428571429
12029999,,102.9
12039999,,102.91428571428571
12049999,,102.92857142857143
12059999,,102.94285714285714
12069999,,102.95714285714286
12079999,,102.97142857142858
12089999,,102.98571428571428
12099999,,103.0
12109999,,103.01428571428572
12119999,,103.02857142857142
12129999,,103.04285714285714
12139999,,103.05714285714285
12149999,,103.07142857142857
12159999,,103.08571428571429
12169999,,103.1
12179999,,103.11428571428571
12189999,,103.12857142857143
12199999,,103.14285714285714
12209999,,103.15714285714286
12219999,,103.17142857142858
12229999,,103.18571428571428
12239999,,103.2
12249999,,103.21428571428571
12259999,,103.22857142857143
12269999,,103.24285714285715
12279999,,103.25714285714285
12289999,,103.27142857142857
12299999,,103.28571428571429
12309999,,103.3
12319999,,103.31428571428572
12329999,,103.32857142857142
12339999,,103.34285714285714
12349999,,103.35714285714286
12359999,,103.37142857142857
12369999,,103.38571428571429
12379999,,103.4
12389999,,103.41428571428571
12399999,,103.42857142857143
12409999,,103.44285714285714
12419999,,103.45714285714286
12429999,,103.47142857142858
12439999,,103.48571428571428
12449999,,103.5
12459999,,103.51428571428572
12469999,,103.52857142857142
12479999,,103.54285714285714
12489999,,103.55714285714285
12499999,,103.57142857142857
12509999,,103.58571428571429
12519999,,103.6
12529999,,103.61428571428571
12539999,,103.62857142857143
12549999,,103.64285714285714
12559999,,103.65714285714286
12569999,,103.67142857142858
12579999,,103.68571428571428
12589999,,103.7
12599999,,103.71428571428571
12609999,,103.72857142857143
12619999,,103.74285714285715
12629999,,103.75714285714285
12639999,,103.77142857142857
12649999,,103.78571428571429
12659999,,103.8
12669999,,103.81428571428572
12679999,,103.82857142857142
12689999,,103.84285714285714
12699999,,103.85714285714286
12709999,,103.87142857142857
12719999,,103.88571428571429
12729999,,103.9
12739999,,103.91428571428571
12749999,,103.92857142857143
12759999,,103.94285714285714
12769999,,103.95714285714286
12779999,,103.97142857142858
12789999,,103.98571428571428
12799999,,104.0
12809999,,104.01428571428572
12819999,,104.02857142857142
12829999,,104.04285714285714
12839999,,104.05714285714285
12849999,,104.07142857142857
12859999,,104.08571428571429
12869999,,104.1
12879999,,104.11428571428571
12889999,,104.12857142857143
12899999,,104.14285714285714
12909999,,104.15714285714286
12919999,,104.17142857142858
12929999,,104.18571428571428
12939999,,104.2
12949999,,104.21428571428571
12959999,,104.22857142857143
12969999,,104.24285714285715
12979999,,104.25714285714285
12989999,,104.27142857142857
12999999,,104.28571428571429
13009999,,104.3
13019999,,104.31428571428572
13029999,,104.32857142857142
13039999,,104.34285714285714
13049999,,104.35714285714286
13059999,,104.37142857142857
13069999,,104.38571428571429
13079999,,104.4
13089999,,104.41428571428571
13099999,,104.42857142857143
13109999,,104.44285714285715
13119999,,104.45714285714286
13129999,,104.47142857142858
13139999,,104.48571428571428
13149999,,104.5
13159999,,104.51428571428572
13169999,,104.52857142857142
13179999,,104.54285714285714
13189999,,104.55714285714285
13199999,,104.57142857142857
13209999,,104.58571428571429
13219999,,104.6
13229999,,104.61428571428571
13239999,,104.62857142857143
13249999,,104.64285714285714
13259999,,104.65714285714286
13269999,,104.67142857142858
13279999,,104.68571428571428
13289999,,104.7
13299999,,104.71428571428571
13309999,,104.72857142857143
13319999,,104.74285714285715
13329999,,104.75714285714285
13339999,,104.77142857142857
13349999,,104.78571428571429
13359999,,104.8
13369999,,104.81428571428572
13379999,,104.82857142857142
13389999,,104.84285714285714
13399999,,104.85714285714286
13409999,,104.87142857142857
13419999,,104.88571428571429
13429999,,104.9
13439999,,104.91428571428571
13449999,,104.92857142857143
13459999,,104.94285714285715
13469999,,104.95714285714286
13479999,,104.97142857142858
13489999,,104.98571428571428
13499999,,105.0
13509999,,105.01428571428572
13519999,,105.02857142857142
13529999,,105.04285714285714
13539999,,105.05714285714285
13549999,,105.07142857142857
13559999,,105.08571428571429
13569999,,105.1
13579999,,105.11428571428571
13589999,,105.12857142857143
13599999,,105.14285714285714
13609999,,105.15714285714286
13619999,,105.17142857142858
13629999,,105.18571428571428
13639999,,105.2
13649999,,105.21428571428571
13659999,,105.22857142857143
13669999,,105.24285714285715
13679999,,105.25714285714285
13689999,,105.27142857142857
13699999,,105.28571428571429
13709999,,105.3
13719999,,105.31428571428572
13729999,,105.32857142857142
13739999,,105.34285714285714
13749999,,105.35714285714286
13759999,,105.37142857142857
13769999,,105.38571428571429
13779999,,105.4
13789999,,105.41428571428571
13799999,,105.42857142857143
13809999,,105.44285714285715
13819999,,105.45714285714286
13829999,,105.47142857142858
13839999,,105.48571428571428
13849999,,105.5
13859999,,105.51428571428572
13869999,,105.52857142857142
13879999,,105.54285714285714
13889999,,105.55714285714285
13899999,,105.57142857142857
13909999,,105.58571428571429
13919999,,105.6
13929999,,105.61428571428571
13939999,,105.62857142857143
13949999,,105.64285714285714
13959999,,105.65714285714286
13969999,,105.67142857142858
13979999,,105.68571428571428
13989999,,105.7
13999999,,105.71428571428571
14009999,,105.72857142857143
14019999,,105.74285714285715
14029999,,105.75714285714285
14039999,,105.77142857142857
14049999,,105.78571428571429
14059999,,105.8
14069999,,105.81428571428572
14079999,,105.82857142857142
14089999,,105.84285714285714
14099999,,105.85714285714286
14109999,,105.87142857142857
14119999,,105.88571428571429
14129999,,105.9
14139999,,105.91428571428571
14149999,,105.92857142857143
14159999,,105.94285714285715
14169999,,105.95714285714286
14179999,,105.97142857142858
14189999,,105.98571428571428
14199999,,106.0
14209999,,106.01428571428572
14219999,,106.02857142857142
14229999,,106.04285714285714
14239999,,106.05714285714285
14249999,,106.07142857142857
14259999,,106.08571428571429
14269999,,106.1
14279999,,106.11428571428571
14289999,,106.12857142857143
14299999,,106.14285714285714
14309999,,106.15714285714286
14319999,,106.17142857142858
14329999,,106.18571428571428
14339999,,106.2
14349999,,106.21428571428571
14359999,,106.22857142857143
14369999,,106.24285714285715
14379999,,106.25714285714285
14389999,,106.27142857142857
14399999,,106.28571428571429
14409999,,106.3
14419999,,106.31428571428572
14429999,,106.32857142857142
14439999,,106.34285714285714
14449999,,106.35714285714286
14459999,,106.37142857142857
14469999,,106.38571428571429
14479999,,106.4
14489999,,106.41428571428571
14499999,,106.42857142857143
14509999,,106.44285714285715
14519999,,106.45714285714286
14529999,,106.47142857142858
14539999,,106.48571428571428
14549999,,106.5
14559999,,106.51428571428572
14569999,,106.52857142857142
14579999,,106.54285714285714
14589999,,106.55714285714285
