Time,Amplitude,Frequency
1001222500,66.53114514,76.65311451
1001230000,66.36502501,76.6365025
1001237500,66.19931967,76.61993197
1001245000,66.03402807,76.60340281
1001252500,65.86914918,76.58691492
1001260000,65.70468198,76.5704682
1001267500,65.54062543,76.55406254
1001275000,65.37697851,76.53769785
1001282500,65.2137402,76.52137402
1001290000,65.05090947,76.50509095
1001297500,64.88848531,76.48884853
1001305000,64.72646671,76.47264667
1001312500,64.56485264,76.45648526
1001320000,64.40364211,76.44036421
1001327500,64.2428341,76.42428341
1001335000,64.0824276,76.40824276
1001342500,63.92242163,76.39224216
1001350000,63.76281516,76.37628152
1001357500,63.60360722,76.36036072
1001365000,63.44479679,76.34447968
1001372500,63.2863829,76.32863829
1001380000,63.12836455,76.31283646
1001387500,62.97074075,76.29707408
1001395000,62.81351052,76.28135105
1001402500,62.65667287,76.26566729
1001410000,62.50022683,76.25002268
1001417500,62.34417141,76.23441714
1001425000,62.18850565,76.21885056
1001432500,62.03322856,76.20332286
1001440000,61.87833918,76.18783392
1001447500,61.72383654,76.17238365
1001455000,61.56971968,76.15697197
1001462500,61.41598762,76.14159876
1001470000,61.26263942,76.12626394
1001477500,61.10967411,76.11096741
1001485000,60.95709073,76.09570907
1001492500,60.80488834,76.08048883
1001500000,60.65306597,76.0653066
1001507500,60.50162269,76.05016227
1001515000,60.35055754,76.03505575
1001522500,60.19986959,76.01998696
1001530000,60.04955788,76.00495579
1001537500,59.89962149,75.98996215
1001545000,59.75005946,75.97500595
1001552500,59.60087088,75.96008709
1001560000,59.4520548,75.94520548
1001567500,59.30361029,75.93036103
1001575000,59.15553644,75.91555364
1001582500,59.0078323,75.90078323
1001590000,58.86049697,75.8860497
1001597500,58.71352951,75.87135295
1001605000,58.56692901,75.8566929
1001612500,58.42069456,75.84206946
1001620000,58.27482524,75.82748252
1001627500,58.12932013,75.81293201
1001635000,57.98417833,75.79841783
1001642500,57.83939894,75.78393989
1001650000,57.69498104,75.7694981
1001657500,57.55092373,75.75509237
1001665000,57.40722612,75.74072261
1001672500,57.2638873,75.72638873
1001680000,57.12090638,75.71209064
1001687500,56.97828247,75.69782825
1001695000,56.83601468,75.68360147
1001702500,56.6941021,75.66941021
1001710000,56.55254387,75.65525439
1001717500,56.41133909,75.64113391
1001725000,56.27048688,75.62704869
1001732500,56.12998636,75.61299864
1001740000,55.98983666,75.59898367
1001747500,55.85003689,75.58500369
1001755000,55.71058618,75.57105862
1001762500,55.57148367,75.55714837
1001770000,55.43272847,75.54327285
1001777500,55.29431974,75.52943197
1001785000,55.15625659,75.51562566
1001792500,55.01853817,75.50185382
1001800000,54.88116361,75.48811636
1001807500,54.74413206,75.47441321
1001815000,54.60744266,75.46074427
1001822500,54.47109456,75.44710946
1001830000,54.33508691,75.43350869
1001837500,54.19941885,75.41994188
1001845000,54.06408953,75.40640895
1001852500,53.92909812,75.39290981
1001860000,53.79444376,75.37944438
1001867500,53.66012562,75.36601256
1001875000,53.52614285,75.35261429
1001882500,53.39249462,75.33924946
1001890000,53.2591801,75.32591801
1001897500,53.12619845,75.31261984
1001905000,52.99354883,75.29935488
1001912500,52.86123043,75.28612304
1001920000,52.7292424,75.27292424
1001927500,52.59758394,75.25975839
1001935000,52.46625421,75.24662542
1001942500,52.3352524,75.23352524
1001950000,52.20457768,75.22045777
1001957500,52.07422924,75.20742292
1001965000,51.94420626,75.19442063
1001972500,51.81450793,75.18145079
1001980000,51.68513345,75.16851334
1001987500,51.556082,75.1556082
1001995000,51.42735277,75.14273528
1002002500,51.29894497,75.1298945
1002010000,51.17085778,75.11708578
1002017500,51.04309041,75.10430904
1002025000,50.91564206,75.09156421
1002032500,50.78851193,75.07885119
1002040000,50.66169924,75.06616992
1002047500,50.53520317,75.05352032
1002055000,50.40902296,75.0409023
1002062500,50.2831578,75.02831578
1002070000,50.15760691,75.01576069
1002077500,50.0323695,75.00323695
1002085000,49.9074448,74.99074448
1002092500,49.78283202,74.9782832
1002100000,49.65853038,74.96585304
1002107500,49.53453911,74.95345391
1002115000,49.41085743,74.94108574
1002122500,49.28748456,74.92874846
1002130000,49.16441975,74.91644197
1002137500,49.04166221,74.90416622
1002145000,48.91921118,74.89192112
1002152500,48.7970659,74.87970659
1002160000,48.6752256,74.86752256
1002167500,48.55368952,74.85536895
1002175000,48.4324569,74.84324569
1002182500,48.31152698,74.8311527
1002190000,48.19089901,74.8190899
1002197500,48.07057223,74.80705722
1002205000,47.9505459,74.79505459
1002212500,47.83081925,74.78308193
1002220000,47.71139155,74.77113916
1002227500,47.59226205,74.7592262
1002235000,47.47342999,74.747343
1002242500,47.35489465,74.73548946
1002250000,47.23665527,74.72366553
1002257500,47.11871113,74.71187111
1002265000,47.00106147,74.70010615
1002272500,46.88370558,74.68837056
1002280000,46.7666427,74.67666427
1002287500,46.64987212,74.66498721
1002295000,46.5333931,74.65333931
1002302500,46.41720491,74.64172049
1002310000,46.30130683,74.63013068
1002317500,46.18569814,74.61856981
1002325000,46.0703781,74.60703781
1002332500,45.955346,74.5955346
1002340000,45.84060113,74.58406011
1002347500,45.72614276,74.57261428
1002355000,45.61197018,74.56119702
1002362500,45.49808267,74.54980827
1002370000,45.38447953,74.53844795
1002377500,45.27116004,74.527116
1002385000,45.15812349,74.51581235
1002392500,45.04536919,74.50453692
1002400000,44.93289641,74.49328964
1002407500,44.82070447,74.48207045
1002415000,44.70879266,74.47087927
1002422500,44.59716027,74.45971603
1002430000,44.48580662,74.44858066
1002437500,44.37473101,74.4374731
1002445000,44.26393274,74.42639327
1002452500,44.15341111,74.41534111
1002460000,44.04316545,74.40431655
1002467500,43.93319506,74.39331951
1002475000,43.82349925,74.38234992
1002482500,43.71407733,74.37140773
1002490000,43.60492863,74.36049286
1002497500,43.49605246,74.34960525
1002505000,43.38744814,74.33874481
1002512500,43.279115,74.3279115
1002520000,43.17105234,74.31710523
1002527500,43.06325951,74.30632595
1002535000,42.95573582,74.29557358
1002542500,42.84848061,74.28484806
1002550000,42.74149319,74.27414932
1002557500,42.63477292,74.26347729
1002565000,42.52831911,74.25283191
