Time,Amplitude,Frequency,Device,Channel,Activate
1000202500,84.12549486,107.38910882,AOM,5,
1000202500,84.12549486,107.38910882,AOM,7,
1000202500,84.12549486,107.38910882,AOM,9,
1000210000,83.91544379,107.2957528,AOM,1,
1000210000,83.91544379,107.2957528,AOM,5,
1000210000,83.91544379,107.2957528,AOM,7,
1000210000,83.91544379,107.2957528,AOM,9,
1000217500,83.7059172,107.20262987,AOM,1,
1000217500,83.7059172,107.20262987,AOM,5,
1000217500,83.7059172,107.20262987,AOM,7,
1000217500,83.7059172,107.20262987,AOM,9,
1000225000,83.49691377,107.10973945,AOM,1,
1000225000,83.49691377,107.10973945,AOM,5,
1000225000,83.49691377,107.10973945,AOM,7,
1000225000,83.49691377,107.10973945,AOM,9,
1000232500,83.2884322,107.01708098,AOM,1,
1000232500,83.2884322,107.01708098,AOM,5,
1000232500,83.2884322,107.01708098,AOM,7,
1000232500,83.2884322,107.01708098,AOM,9,
1000240000,83.08047117,106.92465386,AOM,1,
1000240000,83.08047117,106.92465386,AOM,5,
1000240000,83.08047117,106.92465386,AOM,7,
1000240000,83.08047117,106.92465386,AOM,9,
1000247500,82.87302941,106.83245751,AOM,1,
1000247500,82.87302941,106.83245751,AOM,5,
1000247500,82.87302941,106.83245751,AOM,7,
1000247500,82.87302941,106.83245751,AOM,9,
1000255000,82.6661056,106.74049138,AOM,1,
1000255000,82.6661056,106.74049138,AOM,5,
1000255000,82.6661056,106.74049138,AOM,7,
1000255000,82.6661056,106.74049138,AOM,9,
1000262500,82.45969845,106.64875487,AOM,1,
1000262500,82.45969845,106.64875487,AOM,5,
1000262500,82.45969845,106.64875487,AOM,7,
1000262500,82.45969845,106.64875487,AOM,9,
1000270000,82.25380667,106.55724741,AOM,1,
1000270000,82.25380667,106.55724741,AOM,5,
1000270000,82.25380667,106.55724741,AOM,7,
1000270000,82.25380667,106.55724741,AOM,9,
1000277500,82.04842899,106.46596844,AOM,1,
1000277500,82.04842899,106.46596844,AOM,5,
1000277500,82.04842899,106.46596844,AOM,7,
1000277500,82.04842899,106.46596844,AOM,9,
1000285000,81.8435641,106.37491738,AOM,1,
1000285000,81.8435641,106.37491738,AOM,5,
1000285000,81.8435641,106.37491738,AOM,7,
1000285000,81.8435641,106.37491738,AOM,9,
1000292500,81.63921074,106.28409366,AOM,1,
1000292500,81.63921074,106.28409366,AOM,5,
1000292500,81.63921074,106.28409366,AOM,7,
1000292500,81.63921074,106.28409366,AOM,9,
1000300000,81.43536762,106.19349672,AOM,1,
1000300000,81.43536762,106.19349672,AOM,5,
1000300000,81.43536762,106.19349672,AOM,7,
1000300000,81.43536762,106.19349672,AOM,9,
1000307500,81.23203348,106.10312599,AOM,1,
1000307500,81.23203348,106.10312599,AOM,5,
1000307500,81.23203348,106.10312599,AOM,7,
1000307500,81.23203348,106.10312599,AOM,9,
1000315000,81.02920703,106.0129809,AOM,1,
1000315000,81.02920703,106.0129809,AOM,5,
1000315000,81.02920703,106.0129809,AOM,7,
1000315000,81.02920703,106.0129809,AOM,9,
1000322500,80.82688702,105.9230609,AOM,1,
1000322500,80.82688702,105.9230609,AOM,5,
1000322500,80.82688702,105.9230609,AOM,7,
1000322500,80.82688702,105.9230609,AOM,9,
1000330000,80.62507218,105.83336541,AOM,1,
1000330000,80.62507218,105.83336541,AOM,5,
1000330000,80.62507218,105.83336541,AOM,7,
1000330000,80.62507218,105.83336541,AOM,9,
1000337500,80.42376124,105.74389388,AOM,1,
1000337500,80.42376124,105.74389388,AOM,5,
1000337500,80.42376124,105.74389388,AOM,7,
1000337500,80.42376124,105.74389388,AOM,9,
1000345000,80.22295295,105.65464576,AOM,1,
1000345000,80.22295295,105.65464576,AOM,5,
1000345000,80.22295295,105.65464576,AOM,7,
1000345000,80.22295295,105.65464576,AOM,9,
1000352500,80.02264606,105.56562047,AOM,1,
1000352500,80.02264606,105.56562047,AOM,5,
1000352500,80.02264606,105.56562047,AOM,7,
1000352500,80.02264606,105.56562047,AOM,9,
1000360000,79.8228393,105.47681747,AOM,1,
1000360000,79.8228393,105.47681747,AOM,5,
1000360000,79.8228393,105.47681747,AOM,7,
1000360000,79.8228393,105.47681747,AOM,9,
1000367500,79.62353144,105.3882362,AOM,1,
1000367500,79.62353144,105.3882362,AOM,5,
1000367500,79.62353144,105.3882362,AOM,7,
1000367500,79.62353144,105.3882362,AOM,9,
1000375000,79.42472123,105.2998761,AOM,1,
1000375000,79.42472123,105.2998761,AOM,5,
1000375000,79.42472123,105.2998761,AOM,7,
1000375000,79.42472123,105.2998761,AOM,9,
1000382500,79.22640743,105.21173663,AOM,1,
1000382500,79.22640743,105.21173663,AOM,5,
1000382500,79.22640743,105.21173663,AOM,7,
1000382500,79.22640743,105.21173663,AOM,9,
1000390000,79.02858878,105.12381724,AOM,1,
1000390000,79.02858878,105.12381724,AOM,5,
1000390000,79.02858878,105.12381724,AOM,7,
1000390000,79.02858878,105.12381724,AOM,9,
1000397500,78.83126407,105.03611736,AOM,1,
1000397500,78.83126407,105.03611736,AOM,5,
1000397500,78.83126407,105.03611736,AOM,7,
1000397500,78.83126407,105.03611736,AOM,9,
1000405000,78.63443205,104.94863647,AOM,1,
1000405000,78.63443205,104.94863647,AOM,5,
1000405000,78.63443205,104.94863647,AOM,7,
1000405000,78.63443205,104.94863647,AOM,9,
1000412500,78.4380915,104.861374,AOM,1,
1000412500,78.4380915,104.861374,AOM,5,
1000412500,78.4380915,104.861374,AOM,7,
1000412500,78.4380915,104.861374,AOM,9,
1000420000,78.24224119,104.77432942,AOM,1,
1000420000,78.24224119,104.77432942,AOM,5,
1000420000,78.24224119,104.77432942,AOM,7,
1000420000,78.24224119,104.77432942,AOM,9,
1000427500,78.04687989,104.68750217,AOM,1,
1000427500,78.04687989,104.68750217,AOM,5,
1000427500,78.04687989,104.68750217,AOM,7,
1000427500,78.04687989,104.68750217,AOM,9,
1000435000,77.85200638,104.60089172,AOM,1,
1000435000,77.85200638,104.60089172,AOM,5,
1000435000,77.85200638,104.60089172,AOM,7,
1000435000,77.85200638,104.60089172,AOM,9,
1000442500,77.65761945,104.51449753,AOM,1,
1000442500,77.65761945,104.51449753,AOM,5,
1000442500,77.65761945,104.51449753,AOM,7,
1000442500,77.65761945,104.51449753,AOM,9,
1000450000,77.46371788,104.42831906,AOM,1,
1000450000,77.46371788,104.42831906,AOM,5,
1000450000,77.46371788,104.42831906,AOM,7,
1000450000,77.46371788,104.42831906,AOM,9,
1000457500,77.27030046,104.34235576,AOM,1,
1000457500,77.27030046,104.34235576,AOM,5,
1000457500,77.27030046,104.34235576,AOM,7,
1000457500,77.27030046,104.34235576,AOM,9,
1000465000,77.07736597,104.2566071,AOM,1,
1000465000,77.07736597,104.2566071,AOM,5,
1000465000,77.07736597,104.2566071,AOM,7,
1000465000,77.07736597,104.2566071,AOM,9,
1000472500,76.88491322,104.17107254,AOM,1,
1000472500,76.88491322,104.17107254,AOM,5,
1000472500,76.88491322,104.17107254,AOM,7,
1000472500,76.88491322,104.17107254,AOM,9,
1000480000,76.69294101,104.08575156,AOM,1,
1000480000,76.69294101,104.08575156,AOM,5,
1000480000,76.69294101,104.08575156,AOM,7,
1000480000,76.69294101,104.08575156,AOM,9,
1000487500,76.50144812,104.00064361,AOM,1,
1000487500,76.50144812,104.00064361,AOM,5,
1000487500,76.50144812,104.00064361,AOM,7,
1000487500,76.50144812,104.00064361,AOM,9,
