Time,Amplitude,Frequency
3690000,,100.6428571
3705000,,100.6571429
3720000,,100.6714286
3735000,,100.6857143
3750000,,100.7
3765000,,100.7142857
3780000,,100.7285714
3795000,,100.7428571
3810000,,100.7571429
3825000,,100.7714286
3840000,,100.7857143
3855000,,100.8
3870000,,100.8142857
3885000,,100.8285714
3900000,,100.8428571
3915000,,100.8571429
3930000,,100.8714286
3945000,,100.8857143
3960000,,100.9
3975000,,100.9142857
3990000,,100.9285714
4005000,,100.9428571
4020000,,100.9571429
4035000,,100.9714286
4050000,,100.9857143
4065000,,101
4080000,,101.0142857
4095000,,101.0285714
4110000,,101.0428571
4125000,,101.0571429
4140000,,101.0714286
4155000,,101.0857143
4170000,,101.1
4185000,,101.1142857
4200000,,101.1285714
4215000,,101.1428571
4230000,,101.1571429
4245000,,101.1714286
4260000,,101.1857143
4275000,,101.2
4290000,,101.2142857
4305000,,101.2285714
4320000,,101.2428571
4335000,,101.2571429
4350000,,101.2714286
4365000,,101.2857143
4380000,,101.3
4395000,,101.3142857
4410000,,101.3285714
4425000,,101.3428571
4440000,,101.3571429
4455000,,101.3714286
4470000,,101.3857143
4485000,,101.4
4500000,,101.4142857
4515000,,101.4285714
4530000,,101.4428571
4545000,,101.4571429
4560000,,101.4714286
4575000,,101.4857143
4590000,,101.5
4605000,,101.5142857
4620000,,101.5285714
4635000,,101.5428571
4650000,,101.5571429
4665000,,101.5714286
4680000,,101.5857143
4695000,,101.6
4710000,,101.6142857
4725000,,101.6285714
4740000,,101.6428571
4755000,,101.6571429
4770000,,101.6714286
4785000,,101.6857143
4800000,,101.7
4815000,,101.7142857
4830000,,101.7285714
4845000,,101.7428571
4860000,,101.7571429
4875000,,101.7714286
4890000,,101.7857143
4905000,,101.8
4920000,,101.8142857
4935000,,101.8285714
4950000,,101.8428571
4965000,,101.8571429
4980000,,101.8714286
4995000,,101.8857143
5010000,,101.9
5025000,,101.9142857
5040000,,101.9285714
5055000,,101.9428571
5070000,,101.9571429
5085000,,101.9714286
5100000,,101.9857143
5115000,,102
5130000,,102.0142857
5145000,,102.0285714
5160000,,102.0428571
5175000,,102.0571429
5190000,,102.0714286
5205000,,102.0857143
5220000,,102.1
5235000,,102.1142857
5250000,,102.1285714
5265000,,102.1428571
5280000,,102.1571429
5295000,,102.1714286
5310000,,102.1857143
5325000,,102.2
5340000,,102.2142857
5355000,,102.2285714
5370000,,102.2428571
5385000,,102.2571429
5400000,,102.2714286
5415000,,102.2857143
5430000,,102.3
5445000,,102.3142857
5460000,,102.3285714
5475000,,102.3428571
5490000,,102.3571429
5505000,,102.3714286
5520000,,102.3857143
5535000,,102.4
5550000,,102.4142857
5565000,,102.4285714
5580000,,102.4428571
5595000,,102.4571429
5610000,,102.4714286
5625000,,102.4857143
5640000,,102.5
5655000,,102.5142857
5670000,,102.5285714
5685000,,102.5428571
5700000,,102.5571429
5715000,,102.5714286
5730000,,102.5857143
5745000,,102.6
5760000,,102.6142857
5775000,,102.6285714
5790000,,102.6428571
5805000,,102.6571429
5820000,,102.6714286
5835000,,102.6857143
5850000,,102.7
5865000,,102.7142857
5880000,,102.7285714
5895000,,102.7428571
5910000,,102.7571429
